Sample ID,Source ID,strain,birth date,genotype,fasting,generation
E2E_SAMPLE_001,E2E_SOURCE_001,A/J,02-05-2024,HOME,not fasted,22
E2E_SAMPLE_002,E2E_SOURCE_002,NZO/HlLtJ,02-05-2024,HOME,fasted,22
E2E_SAMPLE_003,E2E_SOURCE_003,A/J,02-05-2024,HOME,not fasted,10
E2E_SAMPLE_004,E2E_SOURCE_004,NZO/HlLtJ,06-08-2024,HOME,not fasted,10
E2E_SAMPLE_005,E2E_SOURCE_005,CAST/EiJ,06-08-2024,HOME,fasted,30
E2E_SAMPLE_006,E2E_SOURCE_006,NZO/HlLtJ,06-08-2024,HOME,not fasted,28
E2E_SAMPLE_007,E2E_SOURCE_007,CAST/EiJ,06-08-2024,HET,fasted,28
E2E_SAMPLE_008,E2E_SOURCE_008,NZO/HlLtJ,06-08-2024,HET,not fasted,22
E2E_SAMPLE_009,E2E_SOURCE_009,NZO/HlLtJ,08-11-2024,HOME,not fasted,28
E2E_SAMPLE_010,E2E_SOURCE_010,CAST/EiJ,08-11-2024,HOME,fasted,22
E2E_SAMPLE_011,E2E_SOURCE_011,NZO/HlLtJ,08-11-2024,HET,fasted,10
E2E_SAMPLE_012,E2E_SOURCE_012,CAST/EiJ,08-11-2024,HOME,fasted,22
E2E_SAMPLE_013,E2E_SOURCE_013,A/J,08-11-2024,HOME,not fasted,22
E2E_SAMPLE_014,E2E_SOURCE_014,NZO/HlLtJ,08-11-2024,HET,fasted,22
E2E_SAMPLE_015,E2E_SOURCE_015,NZO/HlLtJ,08-11-2024,HOME,fasted,22
E2E_SAMPLE_016,E2E_SOURCE_016,A/J,08-11-2024,HET,fasted,30
E2E_SAMPLE_017,E2E_SOURCE_017,A/J,08-11-2024,HET,fasted,30
E2E_SAMPLE_018,E2E_SOURCE_018,NZO/HlLtJ,08-11-2024,HET,fasted,28
E2E_SAMPLE_019,E2E_SOURCE_019,A/J,08-11-2024,HOME,fasted,28
E2E_SAMPLE_020,E2E_SOURCE_020,A/J,02-05-2024,HET,not fasted,22
E2E_SAMPLE_021,E2E_SOURCE_021,NZO/HlLtJ,02-05-2024,HET,not fasted,30
E2E_SAMPLE_022,E2E_SOURCE_022,NZO/HlLtJ,02-05-2024,HET,fasted,10
E2E_SAMPLE_023,E2E_SOURCE_023,A/J,02-05-2024,HET,fasted,30
E2E_SAMPLE_024,E2E_SOURCE_024,NZO/HlLtJ,02-05-2024,HET,fasted,10
E2E_SAMPLE_025,E2E_SOURCE_025,NZO/HlLtJ,02-05-2024,HOME,not fasted,28
E2E_SAMPLE_026,E2E_SOURCE_026,CAST/EiJ,02-05-2024,HET,not fasted,30
E2E_SAMPLE_027,E2E_SOURCE_027,NZO/HlLtJ,02-05-2024,HOME,not fasted,22
E2E_SAMPLE_028,E2E_SOURCE_028,A/J,02-05-2024,HOME,fasted,28
E2E_SAMPLE_029,E2E_SOURCE_029,CAST/EiJ,02-05-2024,HET,fasted,30
E2E_SAMPLE_030,E2E_SOURCE_030,NZO/HlLtJ,02-05-2024,HOME,not fasted,10
E2E_SAMPLE_031,E2E_SOURCE_031,NZO/HlLtJ,02-05-2024,HET,not fasted,22
E2E_SAMPLE_032,E2E_SOURCE_032,NZO/HlLtJ,02-05-2024,HOME,fasted,28
E2E_SAMPLE_033,E2E_SOURCE_033,A/J,02-05-2024,HOME,not fasted,30
E2E_SAMPLE_034,E2E_SOURCE_034,CAST/EiJ,02-05-2024,HOME,not fasted,22
E2E_SAMPLE_035,E2E_SOURCE_035,NZO/HlLtJ,02-05-2024,HET,fasted,22
E2E_SAMPLE_036,E2E_SOURCE_036,NZO/HlLtJ,06-08-2024,HOME,fasted,22
E2E_SAMPLE_037,E2E_SOURCE_037,NZO/HlLtJ,06-08-2024,HOME,fasted,22
E2E_SAMPLE_038,E2E_SOURCE_038,NZO/HlLtJ,06-08-2024,HOME,fasted,22
E2E_SAMPLE_039,E2E_SOURCE_039,CAST/EiJ,06-08-2024,HOME,not fasted,10
E2E_SAMPLE_040,E2E_SOURCE_040,NZO/HlLtJ,06-08-2024,HET,not fasted,10
E2E_SAMPLE_041,E2E_SOURCE_041,NZO/HlLtJ,06-08-2024,HOME,not fasted,30
E2E_SAMPLE_042,E2E_SOURCE_042,NZO/HlLtJ,06-08-2024,HET,not fasted,28
E2E_SAMPLE_043,E2E_SOURCE_043,NZO/HlLtJ,06-08-2024,HOME,not fasted,28
E2E_SAMPLE_044,E2E_SOURCE_044,CAST/EiJ,06-08-2024,HOME,not fasted,28
E2E_SAMPLE_045,E2E_SOURCE_045,CAST/EiJ,06-08-2024,HET,fasted,30
E2E_SAMPLE_046,E2E_SOURCE_046,NZO/HlLtJ,06-08-2024,HET,not fasted,22
E2E_SAMPLE_047,E2E_SOURCE_047,CAST/EiJ,06-08-2024,HOME,fasted,22
E2E_SAMPLE_048,E2E_SOURCE_048,A/J,06-08-2024,HET,not fasted,30
E2E_SAMPLE_049,E2E_SOURCE_049,NZO/HlLtJ,06-08-2024,HET,fasted,10
E2E_SAMPLE_050,E2E_SOURCE_050,NZO/HlLtJ,06-08-2024,HOME,not fasted,30
